in,uit,rich,entry,exit,pnl,result,type,variant,versie
2025-07-15 08:00:00+00:00,2025-07-15 11:00:00+00:00,1,3369.5,3364.08,-395.54,SL,D_PULLBACK,V16-Balanced,v16
2025-07-16 15:00:00+00:00,2025-07-16 16:00:00+00:00,1,3350.4,3359.21,203.53,TP1,E_BOS,V16-Balanced,v16
2025-07-16 15:00:00+00:00,2025-07-16 23:00:00+00:00,1,3350.4,3353.01,351.77,SL,E_BOS,V16-Balanced,v16
2025-07-23 10:00:00+00:00,2025-07-23 12:00:00+00:00,1,3435.2,3429.68,-395.83,SL,D_PULLBACK,V16-Balanced,v16
2025-07-28 15:00:00+00:00,2025-07-29 06:00:00+00:00,-1,3314.1,3320.11,-502.89,SL,C_MOMENTUM,V16-Balanced,v16
2025-08-04 16:00:00+00:00,2025-08-04 17:00:00+00:00,1,3424.7,3398.67,-394.24,SL,D_PULLBACK,V16-Balanced,v16
2025-08-05 14:00:00+00:00,2025-08-05 15:00:00+00:00,1,3439.7,3416.83,-313.05,SL,A_EMACROSS,V16-Balanced,v16
2025-08-05 16:00:00+00:00,2025-08-05 17:00:00+00:00,1,3436.7,3413.79,-196.5,SL,F_MSS,V16-Balanced,v16
2025-08-06 14:00:00+00:00,2025-08-07 07:00:00+00:00,1,3435.3,3458.95,101.2,TP1,E_BOS,V16-Balanced,v16
2025-08-06 14:00:00+00:00,2025-08-07 14:00:00+00:00,1,3435.3,3436.18,174.91,SL,E_BOS,V16-Balanced,v16
2025-08-07 14:00:00+00:00,2025-08-07 19:00:00+00:00,1,3450.3,3463.7,176.91,TP1,D_PULLBACK,V16-Balanced,v16
2025-08-07 14:00:00+00:00,2025-08-07 20:00:00+00:00,1,3450.3,3475.32,330.24,TP2,D_PULLBACK,V16-Balanced,v16
2025-08-07 14:00:00+00:00,2025-08-07 22:00:00+00:00,1,3450.3,3490.5,1769.13,TP3,D_PULLBACK,V16-Balanced,v16
2025-08-08 14:00:00+00:00,2025-08-08 17:00:00+00:00,1,3492.8,3479.36,-397.15,SL,D_PULLBACK,V16-Balanced,v16
2025-08-19 13:00:00+00:00,2025-08-19 14:00:00+00:00,-1,3377.9,3369.94,283.82,TP1,A_EMACROSS,V16-Balanced,v16
2025-08-19 13:00:00+00:00,2025-08-19 16:00:00+00:00,-1,3377.9,3363.04,1324.49,TP2,A_EMACROSS,V16-Balanced,v16
2025-08-19 13:00:00+00:00,2025-08-20 01:00:00+00:00,-1,3377.9,3354.03,2838.2,TP3,A_EMACROSS,V16-Balanced,v16
2025-08-25 14:00:00+00:00,2025-08-25 19:00:00+00:00,1,3418.7,3414.12,-643.16,SL,E_BOS,V16-Balanced,v16
2025-08-26 07:00:00+00:00,2025-08-26 09:00:00+00:00,1,3423.0,3417.73,-641.36,SL,C_MOMENTUM,V16-Balanced,v16
2025-08-26 13:00:00+00:00,2025-08-26 15:00:00+00:00,1,3422.2,3430.42,226.13,TP1,D_PULLBACK,V16-Balanced,v16
2025-08-26 13:00:00+00:00,2025-08-26 19:00:00+00:00,1,3422.2,3437.54,1055.28,TP2,D_PULLBACK,V16-Balanced,v16
2025-08-26 13:00:00+00:00,2025-08-27 05:00:00+00:00,1,3422.2,3424.39,201.01,SL,D_PULLBACK,V16-Balanced,v16
2025-08-27 14:00:00+00:00,2025-08-27 16:00:00+00:00,1,3435.7,3443.34,362.09,TP1,A_EMACROSS,V16-Balanced,v16
2025-08-27 14:00:00+00:00,2025-08-27 16:00:00+00:00,1,3435.7,3449.95,675.9,TP2,A_EMACROSS,V16-Balanced,v16
2025-08-27 14:00:00+00:00,2025-08-28 11:00:00+00:00,1,3435.7,3458.61,1448.36,TP3,A_EMACROSS,V16-Balanced,v16
2025-08-28 14:00:00+00:00,2025-08-28 15:00:00+00:00,1,3468.9,3463.9,-650.68,SL,E_BOS,V16-Balanced,v16
2025-09-03 11:00:00+00:00,2025-09-03 12:00:00+00:00,1,3616.0,3609.21,-648.85,SL,E_BOS,V16-Balanced,v16
2025-09-04 15:00:00+00:00,2025-09-04 17:00:00+00:00,1,3612.3,3604.6,-808.8,SL,A_EMACROSS,V16-Balanced,v16
2025-09-05 11:00:00+00:00,2025-09-05 12:00:00+00:00,1,3609.3,3619.63,113.99,TP1,D_PULLBACK,V16-Balanced,v16
2025-09-05 11:00:00+00:00,2025-09-05 12:00:00+00:00,1,3609.3,3628.58,212.78,TP2,D_PULLBACK,V16-Balanced,v16
2025-09-05 11:00:00+00:00,2025-09-05 12:00:00+00:00,1,3609.3,3640.29,455.95,TP3,D_PULLBACK,V16-Balanced,v16
2025-09-09 14:00:00+00:00,2025-09-09 15:00:00+00:00,1,3684.3,3677.95,-508.33,SL,D_PULLBACK,V16-Balanced,v16
2025-09-10 11:00:00+00:00,2025-09-10 12:00:00+00:00,1,3688.8,3681.04,-507.21,SL,D_PULLBACK,V16-Balanced,v16
2025-09-10 13:00:00+00:00,2025-09-10 15:00:00+00:00,1,3690.7,3682.96,-515.3,SL,C_MOMENTUM,V16-Balanced,v16
2025-09-12 09:00:00+00:00,2025-09-12 12:00:00+00:00,1,3684.5,3677.74,-257.07,SL,C_MOMENTUM,V16-Balanced,v16
2025-09-12 13:00:00+00:00,2025-09-12 15:00:00+00:00,1,3688.2,3681.46,-256.78,SL,C_MOMENTUM,V16-Balanced,v16
2025-09-15 12:00:00+00:00,2025-09-15 13:00:00+00:00,1,3687.6,3697.87,144.28,TP1,A_EMACROSS,V16-Balanced,v16
2025-09-15 12:00:00+00:00,2025-09-15 15:00:00+00:00,1,3687.6,3706.77,5386.41,TP2,A_EMACROSS,V16-Balanced,v16
2025-09-15 12:00:00+00:00,2025-09-15 15:00:00+00:00,1,3687.6,3718.41,11542.31,TP3,A_EMACROSS,V16-Balanced,v16
2025-09-16 11:00:00+00:00,2025-09-16 12:00:00+00:00,1,3734.5,3728.3,-689.04,SL,C_MOMENTUM,V16-Balanced,v16
2025-09-16 14:00:00+00:00,2025-09-16 15:00:00+00:00,1,3722.3,3717.61,-539.88,SL,D_PULLBACK,V16-Balanced,v16
2025-09-17 17:00:00+00:00,2025-09-17 18:00:00+00:00,1,3722.3,3714.85,-857.0,SL,A_EMACROSS,V16-Balanced,v16
